id,text,label
0,"a mesma equipe de cientistas que previu, em artigo publicado em agosto na nature, o segundo colapso na saúde em manaus por causa da covid-19, aponta agora para um terceira onda do coronavírus na região. sem o isolamento social adequado, manaus deve enfrentar uma terceira onda ainda em 2021. é necessária uma fiscalização forte da polícia para garantir o fechamento de manaus. além disso, é impensável a volta às aulas presenciais para qualquer local do brasil neste momento, justamente para impedirmos o espalhamento da variante que surgiu no amazonas. (...)",1
1,"a principal via pública de uma cidade histórica da época da corrida do ouro na califórnia ficou em ruínas nesta quinta-feira, horas após o maior incêndio florestal do estado engolir a vila de greenville, nas montanhas de sierra nevada. as equipes de bombeiros ainda trabalhavam na quinta-feira para extinguir os incêndios em greenville, cerca de 260km ao norte de sacramento, após o incêndio chamado de dixie fire avançar por toda a noite anterior. o dixie fire tem avançado pela área por três semanas, queimando 322 mil acres (130 mil hectares).",1
2,"a fundação oswaldo cruz (fiocruz) adiou do início de fevereiro para março a entrega das primeiras doses da vacina da astrazeneca a serem produzidas no brasil devido ao atraso na chegada do insumo farmacêutico ativo (ifa) da china, que era esperado para o início deste mês, mas que ainda não foi recebido. a informação consta de ofício enviado pela fiocruz ao ministério público federal (mpf) no âmbito de apuração dos procuradores sobre o andamento dos trabalhos para a vacinação no país contra a covid-19, informaram a fiocruz e o mpf.",1
3,"todas as denúncias de pessoas que estão furando a fila de prioridade na vacinação contra a covid-19 no rio de janeiro serão investigadas pelo mprj (ministério público do estado do rio de janeiro), de acordo com a promotora márcia lustosa. em entrevista ao ""bom dia rio"", da tv globo, ela afirmou que cada caso vai gerar uma investigação separada no órgão. ""recebemos inúmeras ouvidorias [denúncias] dando conta de irregularidades. essas ouvidorias estão sendo passadas para as promotorias, que vão abrir uma investigação. cada caso vai ensejar uma investigação"", afirmou lustosa.",1
4,"os depoimentos de 12 médicos da prevent senior serão colhidos em conjunto pelo mp-sp (ministério público estadual de são paulo) e pela polícia civil a partir da próxima semana. a informação é da cnn brasil e foi confirmada pelo uol. a polícia unificou os inquéritos relacionados à operadora em um único caso. agora, toda a investigação está sob responsabilidade do dhpp (departamento estadual e de homicídios e proteção à pessoa). a força-tarefa criada pelo mp investiga possíveis omissões de notificação de profissionais da seguradora sobre casos e óbitos de covid-19.",1
5,"o ministério público federal voltou a pedir o bloqueio de quase r$ 20 milhões em bens do deputado ricardo barros (pp-pr) no caso da compra de remédios que nunca foram entregues durante a gestão dele no ministério da saúde, entre 2016 e 2018. a medida também contempla quatro ex-servidores da pasta e a empresa global saúde. assinada pela procuradora da república no distrito federal carolina martins, a peça renova um pedido feito em 2018 e diz que todos os réus já conhecem a ação e puderam se manifestar sobre ela.",1
6,"com dados ainda instáveis devido ao ataque hacker aos sistemas do ministério da saúde, o brasil registrou hoje 141 novas mortes de covid-19. ao todo, o país acumula 617.121 óbitos, segundo dados obtidos pelo consórcio de veículos de imprensa, do qual o uol faz parte, junto às secretarias estaduais de saúde. os estados de goiás, mato grosso do sul, rio de janeiro, rondônia e tocantins não atualizaram os números de casos, nem mortes hoje. já são paulo divulgou números parciais de ambos os indicadores e pernambuco, números incompletos de casos.",1
7,"depois de detectar casos de covid-19 em visons de 20 fazendas na holanda desde o início da pandemia, o país sacrificou dezenas de milhares de animais, informou o ministério da agricultura. as autoridades holandesas começaram a matar os animais, apreciados por sua pele, no início de junho, quando descobriram os primeiros casos, para evitar que se transformassem em focos de contágio. ""no total, constatamos contágios em 20 fazendas de visons na holanda, todas no sul do país"", afirma um comunicado do ministério. em 18 fazendas, todos os exemplares foram abatidos.",1
8,"é apenas uma questão de tempo até que mais países europeus adotem o tipo de medidas agressivas da itália para combater a disseminação de coronavírus, afirmou o chanceler austríaco sebastian kurz, neste domingo (8). a itália, vizinha ao sul da áustria, praticamente sitiou uma faixa da sua rica região norte, neste domingo, incluindo a capital financeira milão, em uma nova e drástica medida para tentar conter a rápida disseminação do surto. a áustria afirmou semana passada que introduziria ""pontos"" de checagem em sua fronteira com a itália por duas semanas.",1
9,"o dia do orgulho nerd, comemorado na última segunda (25), foi o pretexto ideal para o lançamento de uma simpática e criativa forma de divulgação: o game sobrevivendo ao corona. incomodada com o apagão assistencial de certas áreas da cidade de são paulo — onde até a cobertura emergencial de ongs e coletivos é precária e não há sequer associação de moradores — a criadora de conteúdo de 24 anos fez um chamamento entre amigos e seguidores de suas redes. conseguiu 30 voluntários que trabalham nas diversas áreas do projeto.",1
10,"em tom conciliador, o prefeito bruno covas (psdb) defendeu que o momento é de união para enfrentar a crise da covid-19 e as desigualdades da cidade. em seu primeiro discurso depois da vitória, o tucano fez um agradecimento especial ao vice ricardo nunes (mdb) mencionando as denúncias de violência doméstica contra ele que vieram à tona durante o período eleitoral. covas também cumprimentou o adversário guilherme boulos (psol) e reforçou que vai governar para todos os paulistanos. o atual prefeito foi reeleito em são paulo com 59,4% dos votos válidos.",1
11,"ao abrir a reunião da diretoria colegiada da anvisa (agência nacional de vigilância sanitária), nesta quarta-feira, 14, o diretor-presidente, antônio barra torres, afirmou que os protocolos vacinais da covaxin e da sputnik v contarão com a ""célere atuação da agência"", mas que documentos ainda precisam ser entregues ao órgão fiscalizador. "" não há, neste momento, um cronômetro disparado sobre a agência em relação a essas duas vacinas, no sentido de que nossa análise só prosseguirá ou progredirá com o aporte de documentos que nos permitam efetuar a devida análise"", enfatizou.",1
12,"além da temperatura, da oxigenação no sangue e da frequência cardíaca, a voz pode se tornar um parâmetro para ajudar a identificar mais rapidamente pacientes com suspeita de covid-19. por meio da análise da fala, pesquisadores apoiados pela fapesp pretendem detectar a insuficiência respiratória, um dos principais sintomas da doença. o projeto, batizado de spira –sigla de sistema de detecção precoce de insuficiência respiratória por meio de análise de áudio–, está sendo desenvolvido com apoio do hc-fmusp (hospital das clínicas da faculdade de medicina da universidade de são paulo). “",1
13,"a princesa herdeira victoria da suécia, que teve covid-19 em março de 2021, deu positivo para o coronavírus novamente neste sábado (8), anunciou o palácio real. ""a princesa herdeira, que está totalmente vacinada, tem sintomas de resfriado, mas está bem"", escreveu o tribunal em um comunicado, destacando que ela está isolada em sua casa, junto de sua família. é a segunda vez em menos de um ano que a princesa victoria, de 45 anos, dá positivo para covid-19. em março de 2021, seu esposo, o príncipe daniel, também deu positivo.",1
14,"o vereador carlos bolsonaro (republicanos-rj) votou hoje, em segunda discussão, a favor do pl (projeto de lei) 648/2021 que prevê multar em r$ 1 mil quem fraudar o ""passaporte da vacina"", válido a partir de amanhã na cidade do rio. o voto foi confirmado ao uol pela assessoria da câmara. o texto aprovado em caráter de urgência ""prevê sanção administrativa a quem se evadir do local com o comprovante antes de ter a vacina aplicada ou quem for flagrado confeccionando, portando ou utilizando falso comprovante de vacinação"", explica a câmara.",1
15,"o reino unido adotou obrigatoriedade no uso de máscaras no transporte público, a partir de 15 de junho, enquanto o país começa a adotar medidas de relaxamento da quarentena do coronavírus. quem desobedecer a regra pode ser multado - mas o governo britânico não precisou como fará isso. haverá exceção para crianças, idosos e pessoas com problemas respiratórios. a polícia responsável pelos transportes será convocada a reforçar a obrigatoriedade, segundo a cnn. haverá um aumento no oferecimento de vagões de trem e metrô e nos ônibus, para evitar grandes aglomerações.",1
16,"comum na sociedade moderna, cada vez mais acelerada, o estresse não é de todo ruim. esse mecanismo serve para reagir a determinada situação que se apresenta como um risco. hoje é celebrado o dia de combate ao estresse. — o estresse crônico faz com que a liberação dessas substâncias sejam constantes. de acordo com a isma-br (representante da associação internacional de gerenciamento de estresse), 72% dos brasileiros que trabalham sofrem alguma sequela provocada pelo estresse elevado. essa condição é frequentemente associada a altos níveis de ansiedade, insônia e estresse crônico.",1
17,"o debate político sobre a obrigatoriedade da vacinação contra covid-19 fez com que, na última semana, deputados federais se mobilizassem para protocolar projetos de lei contrários e favoráveis à imunização compulsória contra a covid-19. o embate começou quando o governador de são paulo, joão doria (psdb), anunciou que a vacina contra o novo coronavírus seria obrigatória em todo o estado. o presidente jair bolsonaro reagiu e disse que o ministério da saúde não vai impor essa exigência. no legislativo, já são pelo menos quatro projetos sobre o tema em tramitação.(...)",1
18,"a campanha de vacinação contra a influenza ganhou hoje um reforço no rio de janeiro. as vacinas são as mesmas distribuídas aos estados pelo ministério da saúde. são consideradas doenças crônicas não transmissíveis: as doenças respiratórias crônicas, doenças cardiovasculares, hipertensão, diabetes, a imunossupressão e a obesidade. pessoas com trissomia ou transplantadas também estão incluídas no grupo. "" tem duas vantagens nas farmácias, servir como mais um ponto de atendimento e a vacinação por oportunidade, ou seja, a de atender quem vai lá para comprar remédio e que esteja no público-alvo.",1
19,"em 11 de julho, mayda yudith sotolongo teve o ""pior pesadelo"" de sua vida: chegou a uma delegacia de polícia em havana em busca de seu filho detido nas manifestações e acabou atrás das grades. sua reclamação é a mesma de centenas de famílias quase dois meses após os protestos históricos contra o governo em cuba. ""mesmo que tenha gritado [palavras de ordem contra o governo], acho que não é razão para mantê-lo preso por tantos meses"", comentou à afp esta enfermeira de 50 anos, que tenta conter as lágrimas.",1
20,"nos bastidores da cpi da pandemia, há uma movimentação de senadores para tentar evitar o depoimento de danilo trento, diretor da precisa, na quinta-feira da semana que vem. flávio bolsonaro (patriota-rj) e outros senadores estão na linha de frente para tentar derrubar a oitiva. o depoimento de trento é considerado fundamental para aprofundar as relações da precisa com um esquema de corrupção no ministério da saúde que tratava da compra de insumos e vacinas. ao longo dos últimos dias, trento enviou recados de que seria melhor cancelar o seu comparecimento.",1
